ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,,,,,,,,,,,,,,
0.9267578,0.5649414,0.1982422,0.8774414,-0.4833984,0.2363281,-6,-3,0,-1,-1,-4,-2,-3,-1,-3,-1,-7,-11,0,1,0,52.25,52.25,52.25,6.6875,6.6875,6.6875,7.230932,3.310727,8.675927,3.016912,3.400088,5.922228,,,,,,,,,,,,,,
0.9267578,0.5649414,0.1982422,0.965332,-0.5097656,0.1708984,7,0,-1,-4,-3,0,-1,3,-3,-1,-1,-1,0,-1,-1,0,52.25,52.25,52.25,-17.3125,-17.3125,-17.3125,7.230932,3.310727,8.675927,2.873801,3.253974,6.071194,,,,,,,,,,,,,,
0.9086914,0.4658203,0.1035156,1.019531,-0.5141602,0.05517578,9,2,1,0,0,-1,-1,-1,1,1,0,0,2,-1,-3,1,29.8125,29.8125,29.8125,5.125,5.125,5.125,7.296703,3.171697,8.645491,2.701316,3.139294,6.258813,,,,,,,,,,,,,,
0.9682617,0.4047852,0.04101563,1.04541,-0.4414063,-0.02099609,1,1,-1,-2,-2,-2,-3,-3,-1,-3,-5,1,0,-1,0,-1,-22.75,-22.75,-22.75,18.625,18.625,18.625,7.459624,2.972145,8.463705,2.518834,3.052811,6.474477,,,,,,,,,,,,,,
1.027832,0.40625,-0.06689453,1.047852,-0.3901367,-0.04589844,3,0,-1,-1,0,-1,2,6,0,-1,-3,-4,0,-2,-3,-1,-54.25,-54.25,-54.25,16.4375,16.4375,16.4375,7.581544,2.91281,8.287703,2.350206,2.993355,6.673173,,,,,,,,,,,,,,
0.9956055,0.3110352,-0.1054688,0.9868164,-0.3549805,-0.02929688,-3,-5,1,-2,-1,0,0,-7,-3,-2,-1,-2,-1,0,2,-2,-31.875,-31.875,-31.875,5.4375,5.4375,5.4375,7.665906,2.866142,8.154408,2.207735,2.943802,6.839918,,,,,,,,,,,,,,
1.020508,0.3793945,-0.07324219,0.9448242,-0.3579102,0.01806641,0,-2,-2,-1,1,-3,-1,3,0,-1,-3,-6,1,-2,-4,-4,-30.125,-30.125,-30.125,-8.0625,-8.0625,-8.0625,7.719632,2.847946,8.06629,2.199595,2.930192,6.844001,,,,,,,,,,,,,,
0.9501953,0.3427734,-0.04394531,0.9125977,-0.3852539,0.07714844,-1,-2,-1,0,-1,-3,-7,-16,1,1,16,2,-1,0,0,-1,-48.6875,-48.6875,-48.6875,-3.3125,-3.3125,-3.3125,7.681641,2.846725,8.054443,2.254823,2.931319,6.783361,,,,,,,,,,,,,,
0.9291992,0.3383789,0.02441406,0.8979492,-0.3876953,0.0703125,11,1,0,-1,0,-2,-2,9,-2,-2,-14,2,-1,-1,-1,-1,-63.25,-63.25,-63.25,4.3125,4.3125,4.3125,7.595255,2.863152,8.074345,2.331573,2.943425,6.710161,,,,,,,,,,,,,,
0.9047852,0.3051758,0.002441406,0.894043,-0.371582,0.05859375,-3,-1,-2,-2,0,1,0,0,-4,-1,1,1,-1,2,0,2,-56.9375,-56.9375,-56.9375,12.75,12.75,12.75,7.548814,2.873341,8.090237,2.393293,2.960584,6.659149,,,,,,,,,,,,,,
0.8862305,0.3198242,0.0546875,0.9052734,-0.3295898,0.03808594,2,-2,1,-3,0,-2,1,2,0,0,-4,-3,-3,-2,0,1,-11.5625,-11.5625,-11.5625,12.125,12.125,12.125,7.4733,2.908448,8.125935,2.441377,2.977539,6.625969,,,,,,,,,,,,,,
0.9228516,0.2753906,0.01904297,0.9262695,-0.3105469,0.006835938,1,-1,0,2,-1,-2,-1,1,0,0,0,1,-1,0,-2,-2,-9.9375,-9.9375,-9.9375,10.5,10.5,10.5,7.445243,2.932491,8.13873,2.477782,2.995049,6.600938,,,,,,,,,,,,,,
0.9399414,0.2714844,0.05517578,0.9477539,-0.2885742,-0.008789063,2,0,-1,0,-1,-2,-5,-6,0,-3,2,1,0,-4,-3,-11,-7.5625,-7.5625,-7.5625,9.375,9.375,9.375,7.436261,2.948486,8.139688,2.508646,3.014343,6.579028,,,,,,,,,,,,,,
0.9658203,0.2451172,0.02880859,0.9770508,-0.2792969,-0.02929688,-1,0,0,0,3,-2,-3,11,0,-1,0,-1,1,-2,-1,-2,-16.5,-16.5,-16.5,7.125,7.125,7.125,7.433189,2.963571,8.124879,2.534619,3.033874,6.559396,,,,,,,,,,,,,,
0.9536133,0.2392578,0.0078125,0.9819336,-0.2841797,-0.04101563,9,2,1,-1,1,2,2,3,-2,-2,-4,-6,-3,0,-1,-2,2.875,2.875,2.875,9.4375,9.4375,9.4375,7.450956,2.977564,8.108423,2.564952,3.054226,6.536178,,,,,,,,,,,,,,
0.9643555,0.2368164,0,0.9829102,-0.2871094,-0.0234375,-3,-2,-2,2,-1,0,1,-22,1,-1,-4,-1,-2,0,-2,-3,-1,-1,-1,6.8125,6.8125,6.8125,7.454751,2.983001,8.103883,2.602188,3.070764,6.505047,,,,,,,,,,,,,,
